"","NUTS","Latitude","Longitude","Cases_density_1","response1","residuals1"
"1","AT11",47.2361,16.2874,0.00153853469005149,-6.47538509603671,-0.31198341060858
"2","AT12",48.2589,15.7601,0.00220805599045768,-6.11343229555115,0.263271589660223
"3","AT13",48.2028,16.3932,0.00353078263763276,-5.6426986916718,0.0311883174351388
"4","AT21",46.7161,14.4629,0.00108321322375301,-6.82673964751381,-0.830828895737718
"5","AT22",47.1818,15.5247,0.00184532190838378,-6.29325451400773,-0.240494576114455
"6","AT31",48.143,13.9503,0.00287261646980196,-5.84965525221897,0.223782843949444
"7","AT32",47.2823,13.0002,0.00276499346358411,-5.88794818487573,0.0376136116113344
"8","AT33",47.1809,10.7635,0.00528355380038383,-5.23785877828676,0.735237770990291
"9","AT34",47.2366,9.8851,0.00265398261062248,-5.9290363845667,0.161903427213798
"10","BE10",50.8401,4.3569,0.00754313515846469,-4.8795456513926,0.252976004362846
"11","BE2",51.1013,4.9852,0.00681261725213341,-4.98214297875287,-0.0818585001440706
"12","BE3",50.4595,4.8252,0.00648648619111487,-5.03152669896139,0.895412418995191
"13","BG31",43.4201,23.8763,0.00122089054970288,-6.70695309131071,-0.0216136832090523
"14","BG32",43.2223,25.593,0.00127739349667076,-6.66165539785774,0.0424753531071937
"15","BG33",43.3648,27.3512,0.00215273497897002,-6.13886110656934,0.995777601675038
"16","BG34",42.4799,26.5534,0.00145003246705692,-6.53471824694507,0.267389948546925
"17","BG41",42.3235,23.3357,0.00313332633006408,-5.7625218679875,0.0246416128488702
"18","BG42",41.7421,25.1669,0.00194009796463889,-6.2430748275529,-0.377389559550266
"22","DE3",52.5005,13.4022,0.00285107662070843,-5.85720344570213,-0.256572793292368
"23","DE4",53.0836,12.1381,0.00148261643138706,-6.51246317638966,0.0398860264365144
"24","DE5",53.1065,8.7877,0.00275395550805782,-5.8919592795753,0.0660216290107654
"25","DE6",53.5392,10.01,0.00322262299749953,-5.73433182870192,0.0335571127567036
"27","DE8",53.7138,12.4675,0.000608156762665891,-7.40446953413435,-1.44394669603829
"31","DEC",49.3922,6.957,0.00307836662150783,-5.78027302581865,0.259008710387348
"33","DEE",52.011,11.6996,0.000974584263949677,-6.9325245143681,-0.785684836613487
"34","DEF",54.0804,9.8212,0.00132586121573553,-6.62436631559823,-0.16728646013152
"35","DEG",50.9044,11.0218,0.00165090293421981,-6.40478064071029,-0.186286352304155
"36","DK01",55.8618,12.3296,0.00399995016313448,-5.51746540579572,0.805405846968886
"37","DK02",55.4376,11.7509,0.0024302599004728,-6.01732385464657,0.639736436574588
"38","DK03",55.4038,9.0569,0.000856835676413718,-7.06140719758937,-0.499042328197294
"39","DK04",56.2457,9.3996,0.00124854863760423,-6.68452416344782,-0.359468050221741
"40","DK05",57.2719,9.953,0.000947560413332972,-6.96067185263424,-0.212581337546572
"42","ES11",42.7431,-7.8957,0.00430586636828644,-5.44346175105312,-0.213032945333055
"43","ES12",43.3017,-5.9972,0.00287761593641764,-5.84791136327156,-0.0705251991127458
"44","ES13",43.1875,-4.0606,0.00556158437330439,-5.18629514451928,0.573339397285506
"45","ES21",43.0651,-2.5863,0.0106091986891644,-4.53536797584936,0.739057046269417
"46","ES22",42.7117,-1.6508,0.0128756803029357,-4.3394557044246,1.10301520825419
"47","ES23",42.3132,-2.4332,0.0151583731890824,-4.17392777825239,1.34421335202452
"48","ES24",41.507,-0.6751,0.0174775789219692,-4.02920430889226,1.15762318752984
"49","ES30",40.5008,-3.7119,0.0147499625022306,-4.20165491357331,-0.162939807986135
"50","ES41",41.7447,-4.8172,0.010160300203181,-4.57905502135012,0.42905863427962
"51","ES42",39.2748,-3.1358,0.0101815938371708,-4.57693993378061,0.851345243697858
"52","ES43",39.1892,-6.1601,0.00384282551726541,-5.55769714302942,0.142931358928311
"53","ES51",41.8005,1.5078,0.0127056427648089,-4.35292202227453,-0.666031111412608
"54","ES52",39.3945,-0.54,0.00370466031235504,-5.59445216845036,-0.214043298934614
"55","ES53",39.6075,2.9634,0.00421152615168597,-5.46570977103194,0.0142824053271511
"56","ES61",37.4607,-4.5804,0.00260636750076639,-5.9471880192166,-0.136867372415541
"57","ES62",37.9999,-1.4907,0.00259756829331988,-5.95057859556682,-0.160095310878765
"58","ES63",35.8958,-5.3543,0.00240233097460903,-6.0289105523542,-0.224844238326529
"59","ES64",35.297,-2.9509,0.0025451919548258,-5.97100077106857,-0.257110639445522
"60","ES70",28.2457,-16.5646,0.00183639458701685,-6.29811301037255,-0.287631971628556
"64","FR10",48.7196,2.5234,0.00246526945284475,-6.00298585272956,0.0371687434869346
"65","FRM0",42.1267,9.0976,0.000740168908858029,-7.20789169962966,-1.1587662545738
"66","HR03",44.4289,15.5424,0.00191876267467947,-6.25415413509653,0.240212105734832
"67","ITC1",45.0634,7.9189,0.00747352777649559,-4.88888653756936,1.05347803013594
"68","ITC2",45.7281,7.3925,0.00974934817729577,-4.6207576655781,1.24183667360197
"69","ITC3",44.1573,8.1521,0.00692603615101002,-4.96551748094166,0.715269493173387
"70","ITC4",45.6127,9.773,0.00974460294694584,-4.62124929883483,0.60353479020689
"71","ITF1",42.2341,13.8714,0.00276674129655062,-5.88731450275505,0.201390709966494
"72","ITF2",41.5949,14.5396,0.00167711536157809,-6.38900148476699,-0.323370741771225
"73","ITF3",41.0387,14.7373,0.000954632963495487,-6.95322853386039,0.301469512651354
"74","ITF4",41.0043,16.5847,0.00124806965311303,-6.68490834966236,-0.434748318419902
"75","ITF5",40.5157,16.0794,0.000891091614339887,-7.0221718249765,-0.831498782362713
"76","ITF6",39.1604,16.3822,0.000726462560252572,-7.22659688412786,-0.535870262900812
"77","ITG1",37.5704,14.1658,0.000794209164993262,-7.13736917471163,0.180205167783713
"78","ITG2",40.0775,9.0348,0.000971692476084638,-6.93549902131709,-0.612745258192848
"79","ITH1",46.7053,11.4241,0.00531499463056,-5.23189410796851,0.286263655666565
"80","ITH2",46.1313,10.859,0.0091818306824953,-4.68130442997257,1.10766317048547
"81","ITH3",45.661,11.8546,0.00441307912696784,-5.4187597729255,-0.153485228123775
"82","ITH4",46.1665,13.0495,0.00293562678657885,-5.8278943484072,-0.111887025487526
"83","ITH5",44.5224,11.0296,0.00686003218104177,-4.97515947577173,0.189923239579218
"84","ITI1",43.4794,11.1306,0.00297409246443181,-5.8148378166296,-0.323450604698008
"85","ITI2",42.9717,12.4893,0.00181344917343262,-6.3107095309521,-0.638593023961479
"86","ITI3",43.3477,13.153,0.00467847623278543,-5.36009335879678,0.243695916952641
"87","ITI4",41.9898,12.7501,0.00163472731379328,-6.41464320415846,-0.551606757418885
"89","LV00",56.6829,26.382,0.000695611149697931,-7.27002389352028,-0.328551191112493
"91","NL11",53.2675,6.6929,0.000914884973697057,-6.99579690866125,-0.233071935610424
"92","NL12",53.0649,5.8002,0.00118161663002322,-6.73968943740036,-0.821266535953194
"93","NL13",52.8638,6.6292,0.00119712689545092,-6.72663300276366,-0.671097923665217
"94","NL21",52.4452,6.4397,0.00290862228859796,-5.83716288970061,-0.00487367508162162
"95","NL22",52.0672,5.9378,0.00344926441260393,-5.66613905757043,0.12858819326131
"96","NL23",52.5438,5.4817,0.00284855834580316,-5.85808963305214,0.224327584674261
"97","NL31",52.0749,5.2003,0.00384845413729665,-5.55622785560316,0.0628353891970033
"98","NL32",52.5945,4.9123,0.00383674124257213,-5.55928778700871,-0.172871495994794
"99","NL33",51.9388,4.4867,0.00466656108393053,-5.36265537968961,0.398068948807611
"100","NL34",51.3073,3.7883,0.0025815670894526,-5.95677376034825,0.109188096240525
"101","NL41",51.5461,5.4595,0.00451744178106912,-5.39528174674813,0.112296972042404
"102","NL42",51.1854,5.9292,0.00465180392785184,-5.36583753590006,0.375536353226523
"103","PT11",41.4531,-7.6933,0.00551807968924896,-5.19419200106984,0.169056736760986
"104","PT15",37.2026,-8.1299,0.00226958572647272,-6.08588579835539,-0.225299059306434
"105","PT16",40.1425,-7.9946,0.00208588431347346,-6.17047431968717,-0.328226378161052
"106","PT17",38.6221,-8.8878,0.00993688339773518,-4.60151526521139,0.971736873843197
"107","PT18",38.4793,-8.0017,0.00122204275588383,-6.70600864033749,-0.483584160022052
"108","PT20",37.7846,-25.3659,0.00077019390764263,-7.16809775605326,-0.728164678850429
"109","PT30",32.7326,-16.9503,0.000527032023095015,-7.54772207542956,-1.13914479568659
"110","RO11",47.225,23.3458,0.0023097797818899,-6.0682906400701,-0.988340334572622
"111","RO12",46.186,24.8114,0.00372079802110396,-5.59008937449267,0.254556493519078
"112","RO21",47.0893,26.6947,0.00506776751254738,-5.27977423898909,1.03622586044124
"113","RO22",45.4531,26.9744,0.00421521845306531,-5.46482973380408,0.875937668053464
"114","RO31",44.5192,25.3492,0.00499142475845943,-5.29502996370773,0.280857484189477
"115","RO32",44.5139,26.144,0.00447415635300917,-5.40495327414976,0.302215508140663
"116","RO41",44.5996,23.6859,0.00302238944644838,-5.79868058691236,-0.0200047277068487
"117","RO42",45.7133,21.9876,0.00297322013231874,-5.81513204494119,0.254369807541821
"118","SK01",48.2998,17.1607,0.00114099332130611,-6.77471441673846,-0.128691594376449
"119","SK02",48.4057,18.0701,0.000531858896189916,-7.53860033614547,-0.312966334002208
"120","SK03",48.796,19.3647,0.000437617118684007,-7.73372847524166,-0.333459567322101
"121","SK04",48.9446,21.2527,0.000477973882229201,-7.64547637850533,-0.185604245763571
"123","FR24",47.55,1.5908,0.000920986886362768,-6.98914334903188,-0.639286328162148
"127","FR51",47.4727,-0.8859,0.00061753274455593,-7.38916073975068,-1.06445891774108
"128","FR52",48.0984,-2.6897,0.000408512787164838,-7.80257874517379,-1.35523038273617
"132","FR82",43.9434,5.9746,0.00119387535248077,-6.72935607577909,-0.26317745424403
"133","HR04",45.6127,17.2044,0.00164731819057259,-6.40695797590194,0.183492073673625
